,Well,Size,Bit_Number,Re_Run,Reference,Type,Structure,Formation,Footage,Depth in,Depth out,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Min WOB,Max WOB,ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
89,Peru Sur 8,14.75,18,N,MDSi619HBPX,PDC,Imbricate,C7,721.0000000000002,9835,10875,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,4.999999999999999,30.0,13.999999999999996,11.3,RSS,90.0,140.0,14.0,16.0,Smith
90,Peru Sur 8,14.75,17,R,QD609F,PDC,Imbricate,C7,413.00000000000017,10875,11288,11081.5,9.0,19.0,810.0,850.0,1.086,1.73,4.999999999999999,50.0,5.41,11.7,RSS,90.0,140.0,22.0,16.0,Hughes
91,Peru Sur 8,14.75,19,N,QD607,PDC,Imbricate,C7,726.9999999999999,11288,12183,11735.5,7.0,19.0,850.0,850.0,1.178,1.47,4.999999999999999,30.0,8.979999999999999,11.7,RSS,100.0,120.0,22.0,16.0,Hughes
92,Peru Sur 8,14.75,19,N,QD607,PDC,Imbricate,C8,167.99999999999997,11288,12183,11735.5,7.0,19.0,850.0,850.0,1.178,1.47,4.999999999999999,30.0,8.979999999999999,11.7,RSS,100.0,120.0,22.0,16.0,Hughes
93,Peru Sur 8,14.75,19,R,QD607,PDC,Imbricate,C7,17.0,12183,12200,12191.5,7.0,19.0,805.0,805.0,1.335,0.97,15.0,18.0,9.439999999999998,11.8,Rotary,120.0,120.0,18.0,17.0,Hughes
94,Peru Sur 8,10.625,20,N,FX75DM,PDC,Imbricate,C7,129.99999999999997,12200,12330,12265.0,7.0,16.0,550.0,600.0,1.052,0.885,3.0000000000000004,20.0,49.99999999999999,12.0,Rotary,30.0,50.0,19.0,8.0,Halliburton
95,Peru Sur 8,10.625,21,N,MDSi716LBPX,PDC,Imbricate,C7,319.99999999999994,12330,14604,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,4.999999999999999,30.0,18.78,12.1,RSS,120.0,120.0,21.0,13.0,Smith
96,Peru Sur 8,10.625,21,N,MDSi716LBPX,PDC,Imbricate,C8,248.00000000000009,12330,14604,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,4.999999999999999,30.0,18.78,12.1,RSS,120.0,120.0,21.0,13.0,Smith
97,Peru Sur 8,10.625,21,N,MDSi716LBPX,PDC,Anticlinal G,C7,943.9999999999998,12330,14604,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,4.999999999999999,30.0,18.78,12.1,RSS,120.0,120.0,21.0,13.0,Smith
98,Peru Sur 8,10.625,21,N,MDSi716LBPX,PDC,Anticlinal G,C8,762.0000000000002,12330,14604,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,4.999999999999999,30.0,18.78,12.1,RSS,120.0,120.0,21.0,13.0,Smith
99,Peru Sur 8,10.625,22,N,MSF716M,PDC,Anticlinal G,C8,318.0,14604,14922,14763.0,7.0,16.0,690.0,770.0,1.19,1.1905,17.999999999999996,30.0,13.09,12.15,RSS,100.0,124.0,19.0,17.0,Hycalog
100,Peru Sur 8,10.625,22,R,MSF716M,PDC,Anticlinal G,Mirador,4.0,14922,14926,14924.0,7.0,16.0,500.0,500.0,1.19,2.14625,12.0,20.0,4.737499999999999,12.15,Rotary,90.0,90.0,16.0,12.0,Hycalog
101,Peru Sur 8,8.5,24,N,MM74D,PDC,Anticlinal G,Mirador,65.99999999999997,14926,14992,14959.0,7.0,13.0,350.0,450.0,0.778,1.5,3.0000000000000004,25.0,5.739999999999999,8.4,Rotary,100.0,130.0,16.0,12.0,Halliburton
102,Peru Sur 8,8.5,25,N,K507QSTBPXXC,PDC,Anticlinal G,Mirador,6.0,14992,14998,14995.0,7.0,16.0,250.0,540.0,1.553,2.36,2.0,20.0,3.3,8.4,Turbine,30.0,131.66666666666666,16.0,9.0,Smith
103,Peru Sur 8,8.5,26,N,HHDS132,Impregnated,Anticlinal G,Mirador,362.9999999999999,14998,15361,15179.5,12.0,0.0,560.0,560.0,0.662,3.22,2.0,21.0,3.49,9.4,Motor,185.0,185.0,19.0,16.0,Hughes
104,Peru Sur 8,8.5,27,N,DP336,Impregnated,Anticlinal G,Mirador,220.00000000000009,15361,15714,15537.5,16.0,0.0,560.0,580.0,1.5,0.65,2.0,23.0,4.05,8.4,Motor,185.0,191.0,17.0,13.0,Hughes
105,Peru Sur 8,8.5,27,N,DP336,Impregnated,Anticlinal G,Los Cuervos,133.0,15361,15714,15537.5,16.0,0.0,560.0,580.0,1.5,0.65,2.0,23.0,4.05,8.4,Motor,185.0,191.0,17.0,13.0,Hughes
106,Peru Sur 8,8.5,28,N,MSi716WPXX,PDC,Anticlinal G,Los Cuervos,237.00000000000009,15723,16050,15886.5,7.0,16.0,550.0,550.0,0.773,2.33,2.0,20.0,5.31,9.4,RSS,80.0,127.0,24.0,14.0,Smith
107,Peru Sur 8,8.5,28,N,MSi716WPXX,PDC,Anticlinal P,C8,90.0,15723,16050,15886.5,7.0,16.0,550.0,550.0,0.773,2.33,2.0,20.0,5.31,9.4,RSS,80.0,127.0,24.0,14.0,Smith
108,Peru Sur 8,8.5,29,N,SKF716D-A1C,PDC,Anticlinal P,C8,108.99999999999997,16050,16159,16104.5,7.0,16.0,550.0,550.0,0.773,2.498,6.0,24.0,3.5999999999999996,9.4,RSS,60.0,140.0,24.0,14.0,Hycalog
