Well;Size;Bit_Number;Re_Run;Reference;Type;Date_in;Structure;Formation;Footage (ft);Depth in (ft);Depth out (ft);Depth Average (ft);Blades;Cutter size (mm);Min Flow Rate (gpm);Max Flow Rate (gpm);TFA (sq in);HSI;Min WOB (klb);Max WOB (klb);Average_ROP;Mud Weight (ppg);Dull_Grading;Drive_System;Min_RPM;Max_RPM;Torque Max (kft-lb);Torque Min (kft-lb);Manufacturer
Florida 7;10 5/8;13;;FXD94i;PDC;20-dic-10;Anticlinal F;Mirador;138;12754;12903;12828,5;9;13;550;600;1,703;0,429;10;30;1,3;9,5;1-2-WT-S-X-I-NO-PR;RSS;55;120;10;8;Security
Florida 7;10 5/8;13;;FXD94i;PDC;20-dic-10;Anticlinal F;Los Cuervos;11;12754;12903;12828,5;9;13;550;600;1,703;0,429;10;30;1,3;9,5;1-2-WT-S-X-I-NO-PR;RSS;55;120;10;8;Security
Florida 7;10 5/8;14;;FXD75DM;PDC;27-dic-10;Anticlinal F;Los Cuervos;415;12903;13318;13110,5;7;16;550;650;1,706;0,558;8;35;4,1;9,5;2-2-WT-S-X-I-CT-PR;RSS;60;120;10,5;9,5;Security
Florida 7;10 5/8;15;;QD507HX;PDC;3-ene-11;Anticlinal F;Los Cuervos;245;13318;13586;13452;7;16;630;650;1,74;0,450;2;25;7,2;9,7;1-3-WT-A-X-I-CT-TD;RSS;70;100;13;9;Hughes
Florida 7;10 5/8;15;;QD507HX;PDC;3-ene-11;Anticlinal F;Barco;23;13318;13586;13452;7;16;630;650;1,74;0,450;2;25;7,2;9,7;1-3-WT-A-X-I-CT-TD;RSS;70;100;13;9;Hughes
Florida 7;8 1/2;16;R;FMH3943ZR;PDC;24-ene-11;Anticlinal F;Barco;7;13586;13593;13589,5;9;13;600;608;1,178;1,315;5;45;8,8;9,5;1-1-WT-A-X-I-BT-TD;Rotary;92;92;9,5;12;Security
Florida 7;8 1/2;19;;Q408FX;PDC;6-feb-11;Anticlinal F;Barco;300;13755;14055;13905;8;13;450;450;1,212;0,338;6;30;3,65;8,2;3-6-WT-S-X-I-BT-TQ;RSS;55;100;13;11;Hughes
Florida 7;8 1/2;20;;Q408FX;PDC;11-feb-11;Anticlinal F;Barco;76;14055;14275;14165;8;13;450;450;1,211;0,430;8;26;3,38;8,2;3-4-WT-S-X-I-BT-CP;RSS;80;120;15;12;Hughes
Florida 7;8 1/2;20;;Q408FX;PDC;11-feb-11;Anticlinal F;Guadalupe;144;14055;14275;14165;8;13;450;450;1,211;0,430;8;26;3,38;8,2;3-4-WT-S-X-I-BT-CP;RSS;80;120;15;12;Hughes
Florida 7;8 1/2;21;;MSi813WUPX;PDC;19-feb-11;Anticlinal F;Guadalupe;29;14311;14554;14432,5;8;13;450;465;0,973;0,850;10;26;2,79;8,2;1-2-WT-A-X-I-CT-PR;RSS;80;95;15;12;Smith
Florida 7;8 1/2;21;;MSi813WUPX;PDC;19-feb-11;Anticlinal F;Barco;214;14311;14554;14432,5;8;13;450;465;0,973;0,850;10;26;2,79;8,2;1-2-WT-A-X-I-CT-PR;RSS;80;95;15;12;Smith
Florida 7;8 1/2;23;;Q408FX;PDC;27-feb-11;Anticlinal F;Barco;76;14570;14666;14618;8;13;420;465;0,982;0,731;5;22;2,8;8,2;1-1-WT-A-X-I-NO-TD;RSS;80;120;15;11,4;Hughes
Florida 7;8 1/2;23;;Q408FX;PDC;27-feb-11;Anticlinal F;Los Cuervos;20;14570;14666;14618;8;13;420;465;0,982;0,731;5;22;2,8;8,2;1-1-WT-A-X-I-NO-TD;RSS;80;120;15;11,4;Hughes
