Size,Re_Run,Type,Structure,Formation,Log Footage,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Log Min WOB,Max WOB,Log ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
10.625,0,2,1,17,6.028278520230698,13110.5,7.0,16.0,550.0,650.0,1.706,0.558,2.0794415416798357,35.0,1.410986973710262,9.5,1,60.0,120.0,10.5,9.5,3
10.625,0,2,1,17,5.501258210544727,13452.0,7.0,16.0,630.0,650.0,1.74,0.45,0.6931471805599453,25.0,1.9740810260220096,9.7,1,70.0,100.0,13.0,9.0,1
10.625,0,2,1,0,3.1354942159291497,13452.0,7.0,16.0,630.0,650.0,1.74,0.45,0.6931471805599453,25.0,1.9740810260220096,9.7,1,70.0,100.0,13.0,9.0,1
8.5,1,2,1,0,1.9459101490553132,13589.5,9.0,13.0,600.0,608.0,1.178,1.315,1.6094379124341003,45.0,2.174751721484161,9.5,2,92.0,92.0,9.5,12.0,3
8.5,0,2,1,0,5.703782474656201,13905.0,8.0,13.0,450.0,450.0,1.212,0.338,1.791759469228055,30.0,1.2947271675944,8.2,1,55.0,100.0,13.0,11.0,1
8.5,0,2,1,0,4.330733340286331,14165.0,8.0,13.0,450.0,450.0,1.211,0.43,2.0794415416798357,26.0,1.2178757094949273,8.2,1,80.0,120.0,15.0,12.0,1
8.5,0,2,1,14,4.969813299576001,14165.0,8.0,13.0,450.0,450.0,1.211,0.43,2.0794415416798357,26.0,1.2178757094949273,8.2,1,80.0,120.0,15.0,12.0,1
8.5,0,2,1,14,3.367295829986474,14432.5,8.0,13.0,450.0,465.0,0.973,0.85,2.302585092994046,26.0,1.0260415958332743,8.2,1,80.0,95.0,15.0,12.0,4
8.5,0,2,1,0,5.365976015021851,14432.5,8.0,13.0,450.0,465.0,0.973,0.85,2.302585092994046,26.0,1.0260415958332743,8.2,1,80.0,95.0,15.0,12.0,4
8.5,0,2,1,0,4.330733340286331,14618.0,8.0,13.0,420.0,465.0,0.982,0.7309172785888888,1.6094379124341003,22.0,1.0296194171811581,8.2,1,80.0,120.0,15.0,11.4,1
8.5,0,2,1,17,2.995732273553991,14618.0,8.0,13.0,420.0,465.0,0.982,0.7309172785888888,1.6094379124341003,22.0,1.0296194171811581,8.2,1,80.0,120.0,15.0,11.4,1
6.0,4,2,1,17,2.5649493574615367,14672.5,7.0,13.0,200.0,220.0,0.82,0.267,1.9459101490553132,20.0,2.5649493574615367,9.8,2,68.0,68.0,9.3,9.7,2
6.0,2,2,1,17,2.1972245773362196,14686.5,7.0,13.0,150.0,400.0,0.819,1.78,1.6094379124341003,10.0,1.4445632692438664,9.8,2,90.0,100.0,9.6,9.0,2
6.0,3,2,1,17,5.1298987149230735,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,1.6094379124341003,16.0,2.1162555148025524,9.8,1,70.0,120.0,10.1,8.65,2
6.0,3,2,1,8,5.8522024797744745,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,1.6094379124341003,16.0,2.1162555148025524,9.8,1,70.0,120.0,10.1,8.65,2
6.0,3,2,1,18,4.1588830833596715,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,1.6094379124341003,16.0,2.1162555148025524,9.8,1,70.0,120.0,10.1,8.65,2
6.0,0,2,1,18,4.624972813284271,15323.0,6.0,13.0,250.0,250.0,0.971,0.301,1.3862943611198906,16.0,0.9932517730102834,10.6,2,80.0,100.0,11.0,11.5,1
6.0,0,1,1,18,5.0106352940962555,15449.0,12.0,8.0,250.0,250.0,1.087,0.3,0.0,6.0,0.5128236264286637,10.6,1,30.0,50.0,9.95,9.6,1
6.0,0,1,1,18,5.537334267018537,15651.0,12.0,5.0,200.0,212.0,0.5,1.0,0.6931471805599453,7.0,1.235471471385307,10.6,3,200.0,212.0,10.100000000000001,9.5,4
6.0,0,2,1,18,4.30406509320417,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,4.0943445622221,60.0,1.3862943611198906,10.6,3,185.0,185.0,10.56,9.79,1
6.0,0,2,1,8,4.7535901911063645,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,4.0943445622221,60.0,1.3862943611198906,10.6,3,185.0,185.0,10.56,9.79,1
6.0,0,2,5,8,3.044522437723423,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,4.0943445622221,60.0,1.3862943611198906,10.6,3,185.0,185.0,10.56,9.79,1
