iter	Logloss
0	0.6891896366
1	0.6846536679
2	0.6812440518
3	0.6772654033
4	0.6743852097
5	0.6708074552
6	0.6676501705
7	0.6641186008
8	0.6603412212
9	0.6560553453
10	0.6521728204
11	0.6491263858
12	0.6453196766
13	0.6426003081
14	0.6385399737
15	0.6352065143
16	0.6317232163
17	0.628699641
18	0.625830342
19	0.6227077164
20	0.6192522795
21	0.6168678575
22	0.6137502962
23	0.6111153851
24	0.6078034436
25	0.6050282691
26	0.6027987101
27	0.5991419258
28	0.5963478725
29	0.5933697973
30	0.5908904153
31	0.5877936182
32	0.5851020463
33	0.5830409712
34	0.5801740013
35	0.5781686391
36	0.5751655333
37	0.5729206731
38	0.5713092223
39	0.5692526521
40	0.5668924066
41	0.5649049386
42	0.5629816205
43	0.5603970581
44	0.558146022
45	0.5556394708
46	0.5531779955
47	0.5509899935
48	0.5488339693
49	0.5466828439
50	0.5447346045
51	0.5427573525
52	0.5402284748
53	0.5382920301
54	0.5362788402
55	0.5346852789
56	0.53300483
57	0.5312282246
58	0.5294851326
59	0.5278250237
60	0.526484448
61	0.5244416536
62	0.5231034119
63	0.5215937502
64	0.5192970568
65	0.5176561438
66	0.5157766943
67	0.513221326
68	0.5113914078
69	0.509889304
70	0.5081483592
71	0.5067855674
72	0.5048155367
73	0.5026592164
74	0.5015816583
75	0.4995198597
76	0.4984841588
77	0.4970882434
78	0.4954440944
79	0.494169149
80	0.492432879
81	0.4907353566
82	0.4890308078
83	0.4878727939
84	0.4863280011
85	0.4845359282
86	0.4831729357
87	0.4816328611
88	0.4804662185
89	0.4787493496
90	0.4774608013
91	0.4765465903
92	0.4749630474
93	0.4733323841
94	0.4721418327
95	0.470959324
96	0.4695267727
97	0.4682540135
98	0.4669622767
99	0.4655511579
100	0.4642978252
101	0.4629618467
102	0.4618809888
103	0.460407841
104	0.4590939182
105	0.4581406659
106	0.457186035
107	0.4561356474
108	0.4554011607
109	0.4538709908
110	0.4531412481
111	0.4520038517
112	0.4506361392
113	0.4498027338
114	0.4486192829
115	0.4472292832
116	0.4463934173
117	0.4452700512
118	0.4442370029
119	0.4430408889
120	0.4419827289
121	0.441359589
122	0.4401742483
123	0.4393140556
124	0.4386193995
125	0.4374267871
126	0.4367913523
127	0.4358306147
128	0.4349355708
129	0.4340124017
130	0.4328111767
131	0.4321560577
132	0.4311476323
133	0.4303205042
134	0.4296700304
135	0.428668742
136	0.4277531409
137	0.4270198124
138	0.4261104582
139	0.4253796795
140	0.4245694112
141	0.4235362045
142	0.4228572159
143	0.4220303647
144	0.4212518378
145	0.4204914928
146	0.4197072462
147	0.4186447963
148	0.417661849
149	0.4169338571
150	0.4161853821
151	0.4154967346
152	0.4149311441
153	0.413967147
154	0.4129241987
155	0.4122389494
156	0.4115948214
157	0.4106772446
158	0.4103577242
159	0.4093402011
160	0.4083548537
161	0.4077565354
162	0.406949451
163	0.406246065
164	0.4057040226
165	0.4047669435
166	0.4039811135
167	0.4034983896
168	0.4027834702
169	0.4023097266
170	0.4019301361
171	0.4013565161
172	0.400693308
173	0.4000416461
174	0.399253189
175	0.3983987165
176	0.397946838
177	0.3972714082
178	0.3967861811
179	0.3962330431
180	0.395422999
181	0.3947652429
182	0.3941457915
183	0.3935669479
184	0.3930117664
185	0.3921830935
186	0.3913071019
187	0.3908224647
188	0.390013782
189	0.3894294595
190	0.3889713201
191	0.3884967282
192	0.3879385407
193	0.3872649516
194	0.3865847773
195	0.385853414
196	0.3853298031
197	0.384880832
198	0.3844525167
199	0.3837429028
200	0.3831514099
201	0.3824620243
202	0.3818294398
203	0.3812406728
204	0.3807679669
205	0.3801830971
206	0.3795450081
207	0.3789436436
208	0.3783715253
209	0.3776453513
210	0.3770527549
211	0.3763021289
212	0.3759072996
213	0.375435928
214	0.3748179258
215	0.3740913952
216	0.3735237116
217	0.3730554694
218	0.3726144375
219	0.3720229407
220	0.3713413836
221	0.3708555445
222	0.3703885208
223	0.3698269418
224	0.3692986857
225	0.3687761103
226	0.3683770406
227	0.3678782137
228	0.3673971519
229	0.3668380258
230	0.3664696571
231	0.3662076343
232	0.3657028758
233	0.365314291
234	0.3650224836
235	0.364547867
236	0.3641571843
237	0.3636866816
238	0.3633066134
239	0.362736313
240	0.3622611565
241	0.3618647132
242	0.3613969265
243	0.3612499294
244	0.3608769919
245	0.3603676044
246	0.3598665394
247	0.3594412877
248	0.3588348926
249	0.358339464
250	0.3579877956
251	0.3573702685
252	0.357030009
253	0.3566061222
254	0.356293925
255	0.355659455
256	0.355230127
257	0.3548400129
258	0.3544002244
259	0.3540036682
260	0.3537546638
261	0.353244029
262	0.3528896831
263	0.3525743982
264	0.3521128548
265	0.3518034838
266	0.3513007233
267	0.3506848148
268	0.3501875516
269	0.3497511853
270	0.349473667
271	0.3490824397
272	0.3484608778
273	0.3479642496
274	0.3476394478
275	0.3471475625
276	0.3469589657
277	0.3466870905
278	0.3461560918
279	0.3457066231
280	0.3451056489
281	0.3446784579
282	0.3444498924
283	0.3440625601
284	0.3436085333
285	0.3431931509
286	0.3428617317
287	0.3426441154
288	0.3422271298
289	0.3418048519
290	0.3415547939
291	0.3411836027
292	0.3409563286
293	0.3405489042
294	0.3400840926
295	0.3396144483
296	0.3391502442
297	0.3386235777
298	0.3382523993
299	0.3379307956
300	0.3374587331
301	0.3370194085
302	0.336574194
303	0.3362351187
304	0.3359989611
305	0.3353980492
306	0.334861289
307	0.3345504622
308	0.3338697525
309	0.3335651792
310	0.3330991705
311	0.3328374259
312	0.3324825091
313	0.3319696949
314	0.3316955822
315	0.3311861688
316	0.3308394779
317	0.3305622255
318	0.3301492372
319	0.3297047711
320	0.3292425338
321	0.3285369183
322	0.3282579503
323	0.3280955746
324	0.3276120596
325	0.3273249291
326	0.3268574687
327	0.3266036183
328	0.3263140231
329	0.3259271407
330	0.3254215845
331	0.3251779134
332	0.3247874337
333	0.3244262405
334	0.3238942392
335	0.3235693189
336	0.3231933706
337	0.3230140281
338	0.3226937018
339	0.3223422512
340	0.3220415972
341	0.3216898877
342	0.321373797
343	0.3209061282
344	0.3206316828
345	0.320251651
346	0.3199161605
347	0.3194427666
348	0.3191942356
349	0.3186965293
350	0.3184910533
351	0.3181834169
352	0.3178072188
353	0.3173910514
354	0.3170690759
355	0.3166766155
356	0.3162861178
357	0.3160785785
358	0.3157406247
359	0.3156408958
360	0.3151989614
361	0.3150266513
362	0.314709501
363	0.3143795408
364	0.314125747
365	0.3138966848
366	0.3137017142
367	0.3134904026
368	0.3131705205
369	0.3128387963
370	0.3124722939
371	0.3121481066
372	0.3116747406
373	0.3115045018
374	0.3112243208
375	0.3110106122
376	0.3107632654
377	0.3105598567
378	0.3101558883
379	0.3097552753
380	0.3096435443
381	0.3092881291
382	0.3088632571
383	0.3085337605
384	0.3082673479
385	0.308163863
386	0.3076495906
387	0.3072760331
388	0.3068551667
389	0.3063429829
390	0.3059497191
391	0.3057358051
392	0.3053647298
393	0.3052321422
394	0.3049034715
395	0.3046849339
396	0.3043645522
397	0.3040097414
398	0.3038132162
399	0.3035762895
400	0.3032903818
401	0.3029776263
402	0.3027466058
403	0.3024290049
404	0.3022037933
405	0.3020432184
406	0.3017463407
407	0.3014036976
408	0.3010245604
409	0.3008905389
410	0.3007781221
411	0.3003801791
412	0.2999593425
413	0.2997494771
414	0.2995757913
415	0.2993280835
416	0.2992063063
417	0.2990095629
418	0.2987179927
419	0.2984816571
420	0.2981631238
421	0.2977911289
422	0.2977195718
423	0.2975011452
424	0.2972547342
425	0.2971360116
426	0.2968199762
427	0.2964155931
428	0.2960968714
429	0.2958618954
430	0.2954016278
431	0.2951790934
432	0.2947636536
433	0.2945083229
434	0.294072653
435	0.2939453539
436	0.2937402204
437	0.2935705955
438	0.2933427132
439	0.2930537014
440	0.2927423536
441	0.2924378465
442	0.292159835
443	0.2917914569
444	0.2914753437
445	0.2913446129
446	0.2911744463
447	0.2908996387
448	0.2906300352
449	0.2903831604
450	0.2900995529
451	0.2897984163
452	0.2895306193
453	0.2892503853
454	0.289013359
455	0.2887192757
456	0.2884551836
457	0.2882233125
458	0.2880405473
459	0.287819183
460	0.2876878423
461	0.2873113137
462	0.2870878996
463	0.2869429496
464	0.2866122292
465	0.2863178597
466	0.2860153293
467	0.2857513662
468	0.2855242421
469	0.2853093018
470	0.2851689021
471	0.2849803569
472	0.2847015376
473	0.2845016352
